Id,SpeakerName,Phrase,translation
2003108001,知冴,くぅ……くぅ……。,呼……呼……
2003108002,卡特莉娜,ふあ……。,哈啊……
2003108003,静香,あら、カトリナがあくびなんて珍しいわね。,哎呀，卡特莉娜打哈欠还真少见呢。
2003108004,静香,流石みたいに寝てもいいのよ？　私が起こしてあげる。,像流石那样睡会儿也可以哦？我一会儿叫醒你。
2003108005,卡特莉娜,アタシは寝ない！,我才不睡！
2003108006,卡特莉娜,しょ、しょうがないじゃない……たくさん動いたんだから。,没、没办法嘛……活动量这么大。
2003108007,静香,ふふ、そうね。,呵呵，也是呢。
2003108008,卡特莉娜,静香は眠くないの？,静香不困吗？
2003108009,静香,私は……平気。/nというより、まだ興奮してるって感じかな。,我……没问题。/n不如说还处于兴奋状态吧。
2003108010,卡特莉娜,興奮？,兴奋？
2003108011,静香,ええ。普段はここなの前でばかり演技をしているから、/n誰かに見られたり評価される機会はそこまでないし……。,嗯。平时只在心菜面前表演，/n很少有机会被别人观看和评价……
2003108012,静香,それに、今日のプログラムだって普段はやらない表現だった。/nちょっとワクワクしたんだ。,而且今天的项目都是平时没有尝试过的表演形式。/n稍微有点激动呢。
2003108013,卡特莉娜,そう……。,这样啊……
2003108014,静香,……ふふ。/n楽しかったな。,……呵呵。/n很开心呢。
2003108015,卡特莉娜,アタシも今日、アンタのこと見直したわ。/nあんな繊細な感情を表した演技ができるなんてね。,我今天也重新认识你了。/n没想到你能做出那么细腻的情感表达。
2003108016,静香,……何よ、急に。,……干嘛突然说这个。
2003108017,静香,まあ？　私はここなの相棒で、ここなをワールドダイスターにするため/nここにいるんだもの。できて当然よ。,怎么？我可是心菜的搭档，为了让她成为世界大明星/n才在这里的。做得好是理所当然的。
2003108018,卡特莉娜,そうね。アンタの演技には目を見張るものがあった。/nまたいつか……今度はシリウス劇場の舞台上で共演したい。,是啊。你的演技令人刮目相看。/n希望有天……能在天狼星剧场舞台上一同表演。
2003108019,静香,……。,……。
2003108020,静香,……ちょっと、本気で返さないでよ。/n照れるじゃない……。,……别这么认真回答啊。/n我要害羞了……
2003108021,卡特莉娜,は？/n本気ってなによ。,哈？/n什么叫认真啊。
2003108022,静香,いや……。/nもうっ、なんでもないわ。,没什么……/n真是的，当我什么都没说。
2003108023,静香,けど、私も楽しかった。エチュードも……パントマイムも。/nやっぱりカトリナは強力なライバルで、学べるところがたくさんあるわ。,不过我也很开心。无论是即兴剧……还是默剧。/n果然卡特莉娜都是强劲的对手，有很多值得学习的地方。
2003108024,卡特莉娜,アンタの期待に応えられたみたいでなによりよ。,能回应你的期待真是太好了。
2003108025,静香,自分はまだまだ未熟なんだって思い知らされた。/nここなのためにも、もっと頑張らなきゃね。,能让我清楚认识到自己还不够成熟。/n为了心菜，我也要更加努力。
2003108026,卡特莉娜,……。/nまたここなのことばっかりね。,……/n总是满脑子想着心菜呢。
2003108027,静香,え？,哎？
2003108028,卡特莉娜,なんでもない。/nやっぱりアタシも少しだけ寝るわ……着いたら起こして。,没什么。/n果然我还是先小睡一会儿……到了叫我哦。
2003108029,静香,ええ。,嗯。
2003108030,静香,……。,……。
2003108031,,,
2003108032,心菜,『――姉様……竹の花は、やはり綺麗でした』,『──姐姐……竹子的花，当真如此美丽呢』
2003108033,静香,ここな……。,心菜……
2003108034,静香,すごい拍手。/n夢の一歩を踏み出せたんだね。,好热烈的掌声。/n终于迈出实现梦想的第一步了呢。
2003108035,静香,……なんとかなって、よかった……。,……总算顺利结束了……太好了……
2003108036,,,
2003108037,静香,（これは、ここなが夢を叶えるための物語。/n　ここなが主役の物語）,(这是心菜实现梦想的故事。/n这是以心菜为主角的故事)
2003108038,静香,（そして、私はここなのセンス。/n　……ただの脇役）,(而我是心菜的个性。/n……只是配角而已)
2003108039,静香,（……だけど……）,(……但是……)
2003108040,静香,このままでいいのか、いけないのか、/n……それが問題だ。,维持现状是好是坏，/n……这才是问题所在。
2003108041,,,
2003108042,心菜,だから、新しい約束をしよう。/nいつかふたりで別の配役で舞台に立って……一緒にお芝居するって。,所以，我们做个新的约定吧。/n总有一天我们两个要以不同的角色站上舞台……一起演戏。
2003108043,,,
2003108044,静香,（そう言ってくれて嬉しかった。/n　その言葉だけで……私は立っていられる）,(能听你这么说，我真的很开心。/n光是这句话……就足以支撑我继续前进)
2003108045,静香,（あなたのそばにいて、あなたの理想を演じられるだけで私は幸せ）,(能待在你身边演绎你的理想，我就已经很幸福了)
2003108046,静香,――でも。,──但是。
2003108047,静香,でも……。,但是……
2003108048,静香,（もしその日が来たら……私はどんなに幸せかしらね）,(如果那天真的到来……我该有多么幸福啊)
title,彼此交换的承诺,,
info,翻译：苏米热 校对：XXX,,
chapter,倒影中的静思,,
